"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"19","","Sum score of 13 cytokines Age 28 months","489","-0.13","1.41","-0.54","-0.55","-0.01 (-0.13, 0.1)","0.82","1","-0.12","-0.22","-0.1 (-0.31, 0.12)","0.38","1"
"20","","","","","","","","","","","","","","",""
"21","Initial Ln IFN-y (pg/mL)","Ln AGP Age 14 months (g/L)","364","1.67","2.31","-0.11","-0.11","0 (-0.06, 0.05)","0.97","1","-0.05","-0.04","0.01 (-0.05, 0.06)","0.86","1"
"22","","Ln CRP Age 14 months (mg/L)","313","1.66","2.3","0.17","0.18","0.01 (-0.19, 0.21)","0.93","1","-0.01","-0.03","-0.01 (-0.2, 0.18)","0.91","1"
"23","","Ln IFN-y Age 14 months (pg/mL)","351","1.66","2.31","1.84","1.91","0.07 (0, 0.14)","0.05","0.87","1.95","2.03","0.07 (0, 0.14)","0.04","0.91"
"24","","Sum score of 13 cytokines Age 14 months","351","1.66","2.31","-0.41","-0.37","0.04 (-0.08, 0.17)","0.5","1","0.16","0.17","0.01 (-0.21, 0.23)","0.93","1"
"25","","Ln AGP Age 28 months (g/L)","248","1.56","2.14","-0.24","-0.12","0.12 (-0.03, 0.27)","0.11","1","-0.15","-0.05","0.1 (-0.05, 0.25)","0.2","1"
"26","","Ln CRP Age 28 months (mg/L)","473","1.65","2.3","-0.04","-0.09","-0.05 (-0.2, 0.1)","0.53","1","-0.06","-0.05","0 (-0.04, 0.04)","0.88","1"
"27","","Ln IFN-y Age 28 months (pg/mL)","461","1.64","2.3","1.65","1.65","0 (-0.06, 0.07)","0.91","1","1.81","1.81","-0.01 (-0.08, 0.06)","0.86","1"
"28","","Sum score of 13 cytokines Age 28 months","461","1.64","2.3","-0.49","-0.53","-0.04 (-0.15, 0.06)","0.46","1","-0.11","-0.14","-0.04 (-0.14, 0.07)","0.53","1"
"29","","","","","","","","","","","","","","",""
"30","Sum score of 13 cytokines","Ln AGP Age 14 months (g/L)","364","-0.62","0.64","-0.1","-0.1","0 (-0.07, 0.07)","0.98","1","-0.04","-0.02","0.02 (-0.05, 0.09)","0.54","1"
"31","","Ln CRP Age 14 months (mg/L)","313","-0.65","0.62","0.2","0.15","-0.05 (-0.27, 0.17)","0.67","1","-0.01","-0.04","-0.04 (-0.25, 0.18)","0.75","1"
"32","","Ln IFN-y Age 14 months (pg/mL)","351","-0.63","0.65","1.84","1.84","-0.01 (-0.18, 0.16)","0.94","1","1.95","1.95","0 (-0.18, 0.17)","0.99","1"
"33","","Sum score of 13 cytokines Age 14 months","351","-0.63","0.65","-0.4","-0.46","-0.06 (-0.34, 0.22)","0.69","1","-0.06","-0.09","-0.03 (-0.34, 0.27)","0.84","1"
"34","","Ln AGP Age 28 months (g/L)","248","-0.79","0.51","-0.21","-0.16","0.05 (-0.09, 0.18)","0.51","1","-0.11","-0.08","0.03 (-0.11, 0.17)","0.7","1"
"35","","Ln CRP Age 28 months (mg/L)","473","-0.65","0.65","-0.06","-0.11","-0.05 (-0.21, 0.11)","0.57","1","-0.02","-0.11","-0.09 (-0.25, 0.07)","0.28","1"
"36","","Ln IFN-y Age 28 months (pg/mL)","461","-0.66","0.64","1.65","1.65","-0.01 (-0.08, 0.06)","0.86","1","1.82","1.8","-0.02 (-0.1, 0.05)","0.55","1"
"37","","Sum score of 13 cytokines Age 28 months","461","-0.66","0.64","-0.45","-0.55","-0.09 (-0.22, 0.03)","0.15","1","-0.08","-0.17","-0.09 (-0.22, 0.03)","0.15","1"
