"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"19","","Sum score of 13 cytokines Age 28 months","489","0","1","-0.54","-0.57","-0.03 (-0.24, 0.19)","0.81","0.97","-0.14","-0.18","-0.04 (-0.26, 0.17)","0.72","0.85"
"20","","","","","","","","","","","","","","",""
"21","Ln RBP (umol/L)","Ln AGP Age 14 months (g/L)","434","0.13","0.52","-0.11","-0.11","-0.01 (-0.05, 0.04)","0.84","0.98","0.01","-0.01","-0.01 (-0.06, 0.04)","0.63","0.8"
"22","","Ln CRP Age 14 months (mg/L)","374","0.13","0.52","0.27","0.14","-0.12 (-0.31, 0.06)","0.18","0.62","-0.11","-0.25","-0.15 (-0.33, 0.04)","0.13","0.5"
"23","","Ln IFN-y Age 14 months (pg/mL)","420","0.13","0.52","1.92","1.9","-0.02 (-0.09, 0.04)","0.45","0.85","2.01","1.96","-0.05 (-0.11, 0.02)","0.17","0.5"
"24","","Sum score of 13 cytokines Age 14 months","420","0.13","0.52","-0.31","-0.61","-0.3 (-0.56, -0.04)","0.02","0.44","0.12","-0.22","-0.34 (-0.61, -0.07)","0.01","0.26"
"25","","Ln AGP Age 28 months (g/L)","251","0.13","0.52","-0.2","-0.16","0.04 (-0.04, 0.11)","0.33","0.83","-0.09","-0.09","0 (-0.01, 0.01)","1","1"
"26","","Ln CRP Age 28 months (mg/L)","498","0.13","0.52","-0.15","-0.1","0.05 (-0.09, 0.19)","0.51","0.85","-0.04","-0.04","0 (0, 0)","0.41","0.69"
"27","","Ln IFN-y Age 28 months (pg/mL)","489","0.12","0.51","1.56","1.63","0.07 (0.01, 0.14)","0.03","0.44","1.67","1.74","0.07 (0.01, 0.14)","0.03","0.34"
"28","","Sum score of 13 cytokines Age 28 months","489","0.12","0.51","-0.6","-0.5","0.1 (0, 0.2)","0.04","0.44","-0.25","-0.16","0.09 (-0.01, 0.19)","0.07","0.44"
"29","","","","","","","","","","","","","","",""
"30","Vitamin A deficiency","Ln AGP Age 14 months (g/L)","434","0","1","-0.11","-0.11","0 (-0.35, 0.35)","1","1","-0.03","-0.07","-0.04 (-0.43, 0.34)","0.84","0.9"
"31","","Ln CRP Age 14 months (mg/L)","374","0","1","0.2","0.32","0.12 (-1.09, 1.33)","0.86","0.98","-0.13","-0.1","0.03 (-0.07, 0.13)","0.54","0.8"
"32","","Ln IFN-y Age 14 months (pg/mL)","420","0","1","1.91","2","0.09 (-0.34, 0.53)","0.68","0.89","1.98","2.25","0.27 (-0.2, 0.75)","0.26","0.61"
"33","","Sum score of 13 cytokines Age 14 months","420","0","1","-0.4","0.25","0.65 (-0.15, 1.45)","0.11","0.44","-0.01","1.01","1.02 (0.13, 1.91)","0.02","0.34"
"34","","Ln AGP Age 28 months (g/L)","251","0","1","-0.18","-0.37","-0.19 (-0.59, 0.2)","0.34","0.83","-0.09","-0.16","-0.07 (-0.13, -0.02)","0.01","0.26"
"35","","Ln CRP Age 28 months (mg/L)","498","0","1","-0.12","-0.34","-0.22 (-1.07, 0.62)","0.62","0.85","-0.05","-0.3","-0.25 (-1.1, 0.6)","0.58","0.8"
"36","","Ln IFN-y Age 28 months (pg/mL)","489","0","1","1.6","1.27","-0.33 (-0.72, 0.07)","0.11","0.44","1.73","1.39","-0.34 (-0.74, 0.06)","0.09","0.45"
"37","","Sum score of 13 cytokines Age 28 months","489","0","1","-0.54","-0.91","-0.36 (-0.96, 0.23)","0.23","0.68","-0.16","-0.46","-0.3 (-0.89, 0.3)","0.33","0.66"
"38","","","","","","","","","","","","","","",""
"39","Ln ferritin (ug/L)","Ln AGP Age 14 months (g/L)","434","2.53","3.91","-0.08","-0.13","-0.05 (-0.12, 0.01)","0.11","0.44","-0.01","-0.08","-0.07 (-0.19, 0.05)","0.27","0.61"
"40","","Ln CRP Age 14 months (mg/L)","374","2.52","3.91","0.6","0.13","-0.46 (-1.01, 0.08)","0.09","0.44","0.15","-0.33","-0.47 (-1.03, 0.08)","0.1","0.45"
"41","","Ln IFN-y Age 14 months (pg/mL)","420","2.53","3.89","1.95","1.88","-0.07 (-0.15, 0.02)","0.11","0.44","2.02","1.94","-0.08 (-0.17, 0.01)","0.07","0.44"
"42","","Sum score of 13 cytokines Age 14 months","420","2.53","3.89","-0.31","-0.47","-0.17 (-0.32, -0.01)","0.03","0.44","0.09","-0.07","-0.16 (-0.32, 0)","0.06","0.44"
"43","","Ln AGP Age 28 months (g/L)","251","2.49","3.64","-0.15","-0.21","-0.06 (-0.16, 0.03)","0.21","0.67","-0.07","-0.12","-0.04 (-0.14, 0.05)","0.4","0.69"
"44","","Ln CRP Age 28 months (mg/L)","498","2.54","3.81","-0.14","-0.11","0.03 (-0.16, 0.22)","0.76","0.95","-0.04","-0.06","-0.02 (-0.21, 0.17)","0.85","0.9"
"45","","Ln IFN-y Age 28 months (pg/mL)","489","2.59","3.87","1.57","1.62","0.05 (-0.04, 0.14)","0.27","0.73","1.7","1.77","0.07 (-0.02, 0.16)","0.14","0.5"
"46","","Sum score of 13 cytokines Age 28 months","489","2.59","3.87","-0.55","-0.55","0 (-0.13, 0.13)","0.98","1","-0.23","-0.12","0.11 (-0.13, 0.34)","0.38","0.69"
"47","","","","","","","","","","","","","","",""
"48","Ln sTfR (mg/L)","Ln AGP Age 14 months (g/L)","434","1.28","1.68","-0.1","-0.12","-0.02 (-0.07, 0.02)","0.37","0.84","-0.02","-0.04","-0.03 (-0.08, 0.02)","0.26","0.61"
"49","","Ln CRP Age 14 months (mg/L)","374","1.29","1.68","0.21","0.14","-0.08 (-0.3, 0.14)","0.5","0.85","-0.13","-0.29","-0.16 (-0.39, 0.08)","0.19","0.54"
"50","","Ln IFN-y Age 14 months (pg/mL)","420","1.28","1.68","1.84","1.85","0.01 (-0.15, 0.18)","0.9","1","1.95","1.9","-0.04 (-0.21, 0.12)","0.63","0.8"
"51","","Sum score of 13 cytokines Age 14 months","420","1.28","1.68","-0.47","-0.51","-0.04 (-0.34, 0.25)","0.78","0.95","0.02","-0.07","-0.09 (-0.4, 0.22)","0.58","0.8"
"52","","Ln AGP Age 28 months (g/L)","251","1.3","1.67","-0.21","-0.16","0.05 (-0.03, 0.12)","0.21","0.67","-0.11","-0.08","0.03 (-0.03, 0.1)","0.35","0.68"
"53","","Ln CRP Age 28 months (mg/L)","498","1.3","1.7","-0.18","-0.05","0.12 (-0.03, 0.27)","0.11","0.44","-0.14","0.04","0.18 (0, 0.36)","0.05","0.44"
"54","","Ln IFN-y Age 28 months (pg/mL)","489","1.3","1.68","1.6","1.59","-0.02 (-0.08, 0.05)","0.63","0.85","1.75","1.69","-0.06 (-0.22, 0.1)","0.45","0.69"
"55","","Sum score of 13 cytokines Age 28 months","489","1.3","1.68","-0.55","-0.55","0.01 (-0.09, 0.11)","0.91","1","-0.15","-0.16","-0.01 (-0.11, 0.09)","0.89","0.92"
"56","","","","","","","","","","","","","","",""
"57","Iron deficiency","Ln AGP Age 14 months (g/L)","434","0","1","-0.13","-0.01","0.12 (0.03, 0.22)","0.01","0.44","-0.03","0.1","0.13 (0.04, 0.23)","0.01","0.26"
"58","","Ln CRP Age 14 months (mg/L)","374","0","1","0.13","0.44","0.31 (-0.05, 0.67)","0.09","0.44","-0.21","0.05","0.26 (-0.1, 0.62)","0.15","0.5"
"59","","Ln IFN-y Age 14 months (pg/mL)","420","0","1","1.9","1.94","0.04 (-0.08, 0.16)","0.54","0.85","1.98","2.01","0.03 (-0.09, 0.15)","0.63","0.8"
"60","","Sum score of 13 cytokines Age 14 months","420","0","1","-0.42","-0.34","0.08 (-0.15, 0.3)","0.51","0.85","-0.02","0.08","0.1 (-0.13, 0.33)","0.42","0.69"
"61","","Ln AGP Age 28 months (g/L)","251","0","1","-0.21","-0.1","0.12 (-0.03, 0.26)","0.12","0.45","-0.13","-0.04","0.09 (-0.06, 0.24)","0.25","0.61"
"62","","Ln CRP Age 28 months (mg/L)","498","0","1","-0.14","-0.04","0.1 (-0.18, 0.38)","0.5","0.85","-0.09","0.03","0.12 (-0.16, 0.4)","0.41","0.69"
"63","","Ln IFN-y Age 28 months (pg/mL)","489","0","1","1.61","1.54","-0.06 (-0.19, 0.07)","0.36","0.84","1.76","1.67","-0.09 (-0.23, 0.04)","0.17","0.5"
"64","","Sum score of 13 cytokines Age 28 months","489","0","1","-0.53","-0.61","-0.08 (-0.28, 0.12)","0.46","0.85","-0.13","-0.27","-0.14 (-0.34, 0.06)","0.17","0.5"
